RouteID,Average Speed_mean,Average Speed_median,Average Speed_std,Average Grade Adjusted Pace_mean,Elevation Gain_mean,Relative Effort_mean,Distance_mean,Distance_count
6.26,2.929,2.929,,2.94,23.9,52.0,6.26,1
6.28,3.067,3.067,,3.091,14.2,51.0,6.28,1
6.37,2.749,2.749,0.1315218613006978,2.852,23.8,60.0,6.37,2
6.38,2.872,2.872,,2.871,9.1,34.0,6.38,1
6.39,2.962,2.962,,,27.7,80.0,6.39,1
6.43,2.644,2.644,,2.649,8.5,20.0,6.43,1
6.44,2.8638333333333335,2.8674999999999997,0.201674407564933,2.890166666666667,21.78333333333333,45.5,6.44,6
6.45,2.782,2.782,0.08202438661763928,2.849,8.4,45.5,6.45,2
6.47,2.9165,2.9165,0.11525840533340742,3.014,29.2,55.5,6.47,2
6.49,2.817,2.817,,2.828,15.2,58.0,6.49,1
6.5,3.593,3.593,,3.625,0.0,40.0,6.5,1
6.51,2.612,2.612,0.14142135623730964,2.725,30.6,68.5,6.51,2
6.52,2.8739999999999997,2.8739999999999997,0.004242640687119289,2.881,8.9,50.5,6.52,2
6.53,3.001,3.001,,3.02,46.3,92.0,6.53,1
6.54,4.363,4.363,,,0.0,39.0,6.54,1
6.55,3.448,3.448,,3.506,25.0,64.0,6.55,1
6.57,3.377,3.377,1.0337901140947323,3.4240000000000004,20.5,37.5,6.57,2
6.58,2.782,2.782,,,30.2,48.0,6.58,1
6.6,2.8655,2.8655,0.012020815280171397,2.889,32.4,50.0,6.6,2
6.62,2.8846666666666665,2.864,0.14014754130320423,2.941,12.533333333333333,64.66666666666667,6.62,3
6.66,2.667,2.667,,2.671,10.7,33.0,6.66,1
6.68,2.8795,2.8795,0.21283914113715074,2.8905000000000003,26.45,63.0,6.68,2
6.71,2.868,2.868,,2.897,45.9,45.0,6.71,1
6.73,2.9130000000000003,2.9130000000000003,0.025455844122715576,2.964,37.75,66.5,6.73,2
6.76,3.2625,3.2625,0.8803479425772512,,9.1,42.0,6.76,2
6.77,2.6545,2.6545,0.024748737341529263,2.6905,30.15,32.0,6.77,2
6.78,2.607,2.607,,2.611,9.7,22.0,6.78,1
6.89,3.0105,3.0105,0.05586143571373707,2.9865,14.05,72.5,6.89,2
6.92,2.94,2.94,,3.004,32.0,19.0,6.92,1
6.98,2.6014999999999997,2.6014999999999997,0.2382949852598668,2.778,24.65,94.0,6.98,2
6.99,2.763,2.763,,2.774,17.7,57.0,6.99,1
7.0,3.16,3.16,,3.214,30.0,61.0,7.0,1
7.02,2.812,2.812,,2.816,11.0,55.0,7.02,1
7.06,2.702,2.617,0.16843693181722347,2.902,9.85,57.5,7.06,3
7.08,3.197,3.197,,3.185,14.5,66.0,7.08,1
7.1,2.951,2.951,,3.012,28.0,31.0,7.1,1
7.15,3.039,3.039,,3.017,13.1,66.0,7.15,1
7.17,2.984,2.984,0.22061731573020302,2.9859999999999998,30.5,89.0,7.17,2
7.19,2.711,2.711,,2.728,40.2,34.0,7.19,1
7.21,2.8365,2.8365,0.2510229073212242,,8.0,80.0,7.21,2
7.24,3.0851666666666664,3.0229999999999997,0.3004439492928201,3.0090000000000003,21.4,45.8,7.239999999999999,6
7.25,2.9796666666666667,3.018,0.11921549116341101,3.0869999999999997,28.433333333333334,62.666666666666664,7.25,3
7.26,3.0220000000000002,3.0220000000000002,0.06646803743153522,3.0789999999999997,29.0,30.0,7.26,2
7.31,4.179,4.179,,4.2,0.0,60.0,7.31,1
7.34,2.841,2.841,,2.85,30.8,65.0,7.34,1
7.39,3.0625,3.0625,0.4419417382415922,3.0925,24.25,63.5,7.39,2
7.4,2.972,2.972,,3.021,26.0,21.0,7.4,1
7.41,2.9023333333333334,2.894,0.03818813079129844,2.929,25.333333333333332,52.0,7.41,3
7.42,3.059,3.059,,3.066,30.8,114.0,7.42,1
7.45,2.737,2.737,,2.767,14.0,11.0,7.45,1
7.48,2.768,2.768,,2.782,30.7,41.0,7.48,1
7.52,2.844,2.844,,2.912,36.0,72.0,7.52,1
7.54,2.731,2.731,0.21213203435596414,2.7645,42.9,54.0,7.54,2
7.55,3.054,3.054,,3.107,30.0,42.0,7.55,1
7.57,2.921,2.921,,2.978,29.0,73.0,7.57,1
7.62,2.975,2.975,,2.987,30.8,73.0,7.62,1
7.63,2.6719999999999997,2.6719999999999997,0.04666904755831249,2.725,33.45,46.0,7.63,2
7.65,3.0453333333333332,3.198,0.2678979905361988,3.0720000000000005,39.199999999999996,75.66666666666667,7.650000000000001,3
7.67,3.262,3.262,,3.319,36.0,64.0,7.67,1
7.68,3.05,3.05,,3.111,35.0,85.0,7.68,1
7.69,2.7645,2.7645,0.19869700551341962,2.63,36.65,62.0,7.69,2
7.7,3.014,3.014,,3.061,33.0,81.0,7.7,1
7.71,3.193,3.193,,3.205,30.8,94.0,7.71,1
7.73,3.123,3.123,,3.13,30.8,122.0,7.73,1
7.74,3.043,3.043,,,54.5,90.0,7.74,1
7.76,2.867,2.867,,2.908,29.0,51.0,7.76,1
7.77,2.847,2.847,,2.853,14.6,69.0,7.77,1
7.81,2.8735,2.8735,0.3372899346259834,3.159,22.9,66.5,7.81,2
7.86,2.8745000000000003,2.8745000000000003,0.0007071067811866267,2.887,22.55,79.5,7.86,2
7.87,3.105,3.105,,3.154,16.0,47.0,7.87,1
7.88,2.6334999999999997,2.6334999999999997,0.003535533905933133,2.645,38.05,37.0,7.88,2
7.95,3.251,3.251,,,22.1,106.0,7.95,1
7.99,2.759,2.759,,2.81,17.0,12.0,7.99,1
8.0,2.872,2.872,,2.912,16.0,16.0,8.0,1
8.01,2.715,2.715,,2.76,17.0,11.0,8.01,1
8.04,3.238,3.133,0.323541342026023,3.378,15.35,81.5,8.04,3
8.05,2.9248125,2.867,0.3068804802633538,2.9047142857142854,25.025,38.75,8.05,16
8.06,2.8305833333333332,2.8095,0.10709762609484641,2.859,19.066666666666666,54.0,8.06,12
8.07,2.895666666666667,2.847,0.20732904604356187,2.923,32.1,63.0,8.07,3
8.08,2.899,2.899,,2.947,20.0,49.0,8.08,1
8.09,2.87375,2.8514999999999997,0.06036762377301271,2.90625,36.275,42.0,8.09,4
8.1,3.141,3.141,,3.194,40.0,93.0,8.1,1
8.11,2.86,2.871,0.022605309110914743,2.8953333333333333,26.066666666666666,64.0,8.11,3
8.12,2.9939999999999998,3.037,0.10250365847129586,3.0086666666666666,23.96666666666667,76.66666666666667,8.12,3
8.14,2.818,2.818,,2.822,43.2,65.0,8.14,1
8.15,3.046333333333333,2.981,0.1335751972985006,3.086,21.0,66.66666666666667,8.15,3
8.16,2.839,2.839,0.07636753236814689,2.848,33.150000000000006,78.5,8.16,2
8.18,2.994,2.994,,3.031,17.0,57.0,8.18,1
8.29,2.8289999999999997,2.8289999999999997,0.09475230867899745,,20.9,109.0,8.29,2
8.33,3.0415,3.0415,0.09970205614730321,3.092,24.5,118.5,8.33,2
8.34,3.118,3.118,,3.171,15.0,49.0,8.34,1
8.36,3.127,3.127,,,49.2,100.0,8.36,1
8.37,3.025,3.025,,3.09,62.0,73.0,8.37,1
8.38,2.794,2.794,,,0.0,74.0,8.38,1
8.39,2.946,2.946,,2.952,16.9,67.0,8.39,1
8.41,2.976,2.976,,3.034,27.0,59.0,8.41,1
8.46,2.822,2.822,,,37.2,120.0,8.46,1
8.49,2.847,2.847,,2.861,26.8,68.0,8.49,1
8.54,2.587,2.587,,,32.3,112.0,8.54,1
8.62,2.873,2.873,,,31.6,112.0,8.62,1
8.68,2.882,2.882,,2.951,42.0,44.0,8.68,1
8.69,3.011,3.011,,3.063,35.0,102.0,8.69,1
8.73,3.154,3.154,,3.205,24.0,30.0,8.73,1
8.81,3.145,3.145,,3.167,59.6,128.0,8.81,1
8.83,3.006,3.006,,3.026,55.4,117.0,8.83,1
8.85,2.93825,2.8785,0.24999249988749675,2.98225,23.0,30.5,8.85,4
8.86,2.842,2.842,,2.849,23.1,62.0,8.86,1
8.87,2.922,2.922,,2.945,13.0,65.0,8.87,1
8.91,3.027,3.027,,3.061,17.0,68.0,8.91,1
8.94,2.888,2.888,,2.925,55.5,112.0,8.94,1
9.02,2.766,2.766,,2.791,21.4,77.0,9.02,1
9.13,3.923,3.923,,3.948,0.0,84.0,9.13,1
9.14,2.9955,2.9955,0.014849242404917433,3.024,58.75,119.5,9.14,2
9.15,3.021,3.021,,3.037,35.5,88.0,9.15,1
9.16,3.0780000000000003,3.0780000000000003,0.07071067811865465,3.1470000000000002,50.5,67.0,9.16,2
9.17,2.755,2.755,,2.786,8.0,17.0,9.17,1
9.24,3.01,3.01,,3.065,34.0,38.0,9.24,1
9.26,3.374,3.374,,,64.7,123.0,9.26,1
9.28,2.868,2.868,,2.915,34.0,35.0,9.28,1
9.32,2.7145,2.7145,0.14637110370561524,2.682,31.849999999999998,126.0,9.32,2
9.34,4.348,4.348,,,0.0,93.0,9.34,1
9.35,2.886,2.886,,,67.6,182.0,9.35,1
9.39,2.9,2.9,,2.91,33.0,65.0,9.39,1
9.42,2.659,2.659,,2.664,18.5,125.0,9.42,1
9.45,2.554,2.554,,2.601,21.0,18.0,9.45,1
9.57,2.588,2.588,,2.621,24.0,14.0,9.57,1
9.64,3.0975,3.0975,0.013435028842544494,3.183,69.7,110.0,9.64,2
9.65,3.201,3.201,0.19940411229460642,3.2640000000000002,47.0,63.0,9.65,2
9.66,2.8053,2.778,0.04958057415292129,2.8515,47.85,49.6,9.66,10
9.67,2.8795,2.9085,0.16545392107774282,2.9483333333333337,21.15,72.75,9.67,4
9.68,2.859,2.859,,2.871,42.3,88.0,9.68,1
9.7,2.9435000000000002,2.9435000000000002,0.22698127676088173,2.9835,61.95,85.5,9.7,2
9.71,3.063,3.063,,3.136,31.0,98.0,9.71,1
9.73,2.917333333333333,2.885,0.09282420661300209,2.9440000000000004,44.06666666666666,80.0,9.73,3
9.75,3.048,3.048,0.14142135623730964,3.0540000000000003,16.55,80.5,9.75,2
9.78,3.031,3.031,,3.065,21.0,48.0,9.78,1
9.79,2.596,2.596,,2.642,30.0,16.0,9.79,1
9.8,2.8120000000000003,2.8120000000000003,0.22344574285494936,2.8354999999999997,16.9,44.0,9.8,2
9.82,2.982,2.982,0.14283556979968273,3.138,32.1,108.0,9.82,2
9.83,3.1123333333333334,3.089,0.17516944177947624,3.139666666666667,40.03333333333333,88.33333333333333,9.83,3
9.84,2.899,2.899,,2.913,31.6,91.0,9.84,1
9.86,3.083,3.083,,,75.2,123.0,9.86,1
9.88,3.047,3.047,,,43.6,128.0,9.88,1
9.91,4.456,4.456,,,0.0,96.0,9.91,1
9.93,3.003,3.003,,3.034,64.6,106.0,9.93,1
10.0,2.917,2.917,,2.946,77.8,95.0,10.0,1
10.03,2.747,2.747,,2.751,48.0,86.0,10.03,1
10.05,3.059,3.059,,3.076,70.3,132.0,10.05,1
10.07,3.014,3.014,,3.087,35.0,53.0,10.07,1
10.12,2.969,2.969,,,65.4,125.0,10.12,1
10.13,3.124,3.124,,3.199,43.0,77.0,10.13,1
10.15,3.011,3.011,,3.069,30.0,78.0,10.15,1
10.16,2.821,2.821,0.039597979746446695,2.8705,37.5,29.0,10.16,2
10.18,2.86,2.86,,2.877,51.7,76.0,10.18,1
10.2,2.891,2.891,,2.938,35.0,31.0,10.2,1
10.22,2.894,2.894,,2.908,45.1,89.0,10.22,1
10.24,2.948,2.948,,2.978,50.7,176.0,10.24,1
10.25,2.828,2.828,,2.905,75.0,51.0,10.25,1
10.26,2.998,2.998,,3.013,31.8,78.0,10.26,1
10.3,3.0505,3.0505,0.30052038200428255,3.0935,21.5,63.0,10.3,2
10.31,3.068,3.068,,3.147,57.0,70.0,10.31,1
10.34,2.72,2.72,,,84.1,118.0,10.34,1
10.36,2.937,2.937,,,78.1,145.0,10.36,1
10.37,2.881,2.881,,2.889,25.3,98.0,10.37,1
10.4,3.0185,3.0185,0.11242997820866092,3.159,39.85,80.0,10.4,2
10.41,3.039,3.039,,3.077,12.0,64.0,10.41,1
10.43,3.063,3.063,,3.115,34.0,130.0,10.43,1
10.44,3.134,3.134,,3.189,44.0,76.0,10.44,1
10.46,2.8653333333333335,2.823,0.11927419391189932,2.920666666666667,47.666666666666664,43.333333333333336,10.46,3
10.47,2.825,2.825,,2.875,37.0,22.0,10.47,1
10.48,3.062333333333333,3.106,0.09348974988378829,3.121,45.0,82.66666666666667,10.48,3
10.49,3.06,3.06,,3.109,40.0,90.0,10.49,1
10.5,3.049,3.049,,3.063,49.3,103.0,10.5,1
10.51,2.986,2.986,,2.999,49.4,137.0,10.51,1
10.53,2.932,2.932,0.12727922061357835,2.859,54.95,114.5,10.53,2
10.54,2.95725,2.9605,0.14558245086548052,3.008,47.7,76.25,10.54,4
10.55,3.0615,3.0615,0.10677312395916853,3.0935,46.65,108.0,10.55,2
10.57,3.028,3.028,0.10182337649086293,3.0775,47.0,101.5,10.57,2
10.6,2.982,2.982,,3.033,49.0,105.0,10.6,1
10.62,3.143,3.143,,3.17,69.3,128.0,10.62,1
10.63,2.913,2.913,,2.938,14.0,34.0,10.63,1
10.66,2.984666666666667,2.959,0.04974267115197305,3.033333333333333,50.03333333333333,100.66666666666667,10.66,3
10.67,3.2305,3.2305,0.2538513344459706,3.309,83.4,102.0,10.67,2
10.71,2.7,2.7,,2.749,28.0,15.0,10.71,1
